room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
11836150,1352,53320272,Shared room,,Lisbon,,Avenidas Novas,6,4.0,6,1.0,,64.0,,Swallow Hostel 5 sinta-se em casa!,2017-06-20 17:25:55.629994,38.732784,-9.148877,0101000020E6100000D1402C9B394C22C01B84B9DDCB5D4340
12064251,1352,64460695,Shared room,,Lisbon,,Estrela,20,4.0,8,1.0,,43.0,,Kab+1 Hostel - London Room,2017-06-20 17:25:47.341276,38.706379,-9.157019,0101000020E610000085B35BCB645022C064CA87A06A5A4340
17377117,1352,117425901,Shared room,,Lisbon,,Arroios,0,0.0,10,1.0,,48.0,,Saldanha Room - Metro Hostel,2017-06-20 17:25:41.398049,38.734945,-9.142687,0101000020E6100000F3203D450E4922C0EBAD81AD125E4340
16479504,1352,105922671,Shared room,,Lisbon,,Misericórdia,3,5.0,8,1.0,,52.0,,8 Bed Dorm in Lisbon's most social hostel,2017-06-20 17:24:54.276041,38.711117,-9.149266,0101000020E61000003ACFD8976C4C22C09850C1E1055B4340
16479635,1352,105922671,Shared room,,Lisbon,,Misericórdia,2,0.0,10,1.0,,45.0,,10 Bed Dorm in Lisbon's most social hostel,2017-06-20 17:24:54.265873,38.709847,-9.150418,0101000020E61000009F758D96034D22C0F5143944DC5A4340
7722075,1352,40574313,Shared room,,Lisbon,,Avenidas Novas,1,0.0,4,1.0,,42.0,,Lisbon Forever Hostel 4 beds dorm (Breakfast),2017-06-20 17:24:54.255007,38.730963,-9.152093,0101000020E6100000ACE63922DF4D22C004CB1132905D4340
13231767,1352,1379661,Shared room,,Lisbon,,Santa Maria Maior,32,4.5,6,1.0,,42.0,,Bed in a 6-bed dorm @ This Is Lisbon Hostel,2017-06-20 17:24:45.634479,38.715699,-9.134668,0101000020E6100000ADA23F34F34422C0D4635B069C5B4340
13570032,1352,78249982,Shared room,,Lisbon,,Misericórdia,8,5.0,10,1.0,,48.0,,Sunset Destination Hostel - Dormitories,2017-06-20 17:24:45.630160,38.70552,-9.14225,0101000020E610000046B6F3FDD44822C04356B77A4E5A4340
6360109,1352,29676067,Shared room,,Lisbon,,Misericórdia,25,4.5,9,1.0,,20.0,,Bright 9 bed dorm with superb view,2017-06-20 17:24:37.400236,38.714227,-9.143829,0101000020E6100000CA6E66F4A34922C0C97553CA6B5B4340
11839628,1352,53320272,Shared room,,Lisbon,,Avenidas Novas,2,0.0,10,1.0,,40.0,,Swallow Hostel 17 sinta-se em casa!,2017-06-20 17:24:37.392572,38.733829,-9.149238,0101000020E610000012A452EC684C22C09EEDD11BEE5D4340
7722107,1352,40574313,Shared room,,Lisbon,,Avenidas Novas,22,5.0,4,1.0,,36.0,,Lisbon Forever Hostel 4 beds dorm (Breakfast),2017-06-20 17:24:37.390262,38.732551,-9.150726,0101000020E6100000555051F52B4D22C078D32D3BC45D4340
12070760,1352,64460695,Shared room,,Lisbon,,Estrela,0,0.0,6,1.0,,31.0,,Kab+1 Hostel - Amsterdam Room,2017-06-20 17:24:37.383707,38.706692,-9.158141,0101000020E610000040506EDBF75022C0232C2AE2745A4340
12070865,1352,64460695,Shared room,,Lisbon,,Estrela,1,0.0,6,1.0,,31.0,,Kab+1 Hostel - Madrid Room,2017-06-20 17:24:30.828465,38.707347,-9.156651,0101000020E61000007AC5538F345022C03CF6B3588A5A4340
5725814,1352,29676067,Shared room,,Lisbon,,Misericórdia,23,5.0,6,1.0,,21.0,,Cosy and charming 6 bed dorm,2017-06-20 17:24:30.823967,38.71414,-9.144854,0101000020E6100000BB63B14D2A4A22C0FA6184F0685B4340
17378510,1352,117425901,Shared room,,Lisbon,,Arroios,0,0.0,8,1.0,,33.0,,Cais Sodre Room - Metro Hostel,2017-06-20 17:24:30.806111,38.734935,-9.142788,0101000020E6100000C2853C821B4922C0C7D79E59125E4340
11839136,1352,53320272,Shared room,,Lisbon,,Avenidas Novas,1,0.0,6,1.0,,40.0,,Swallow Hostel 15 sinta-se em casa!,2017-06-20 17:24:30.802244,38.733663,-9.149497,0101000020E610000042B3EBDE8A4C22C083A44FABE85D4340
