Name,Active,Gender,Membership,Universe,IntroYear,Appearances,TotalDeaths,TotalReturns
"Henry Jonathan ""Hank"" Pym",YES,MALE,Full,Earth-616,1963,1269,1,0
Janet van Dyne,YES,FEMALE,Full,Earth-616,1963,1165,1,1
"Anthony Edward ""Tony"" Stark",YES,MALE,Full,Earth-616,1963,3068,1,1
Robert Bruce Banner,YES,MALE,Full,Earth-616,1963,2089,1,1
Thor Odinson,YES,MALE,Full,Earth-616,1963,2402,2,1
Richard Milhouse Jones,YES,MALE,Honorary,Earth-616,1963,612,0,0
Steven Rogers,YES,MALE,Full,Earth-616,1964,3458,1,1
Clinton Francis Barton,YES,MALE,Full,Earth-616,1965,1456,2,2
Pietro Maximoff,YES,MALE,Full,Earth-616,1965,769,1,1
Wanda Maximoff,YES,FEMALE,Full,Earth-616,1965,1214,1,1
Jacques Duquesne,NO,MALE,Full,Earth-616,1965,115,1,1
Heracles,YES,MALE,Full,Earth-616,1967,741,0,0
T'Challa,NO,MALE,Full,Earth-616,1968,780,0,0
Victor Shade (alias),YES,MALE,Full,Earth-616,1968,1036,1,1
Natalia Alianovna Romanova,YES,FEMALE,Full,Earth-616,1973,1112,1,1
Brandt,NO,FEMALE,Full,Earth-616,1973,160,1,1
Henry P. McCoy,NO,MALE,Full,Earth-616,1976,1886,0,0
Heather Douglas,NO,FEMALE,Full,Earth-616,1976,332,2,2
Patsy Walker,NO,FEMALE,Full,Earth-616,1976,557,1,1
Matthew Liebowitz (birth name),NO,MALE,Full,Earth-616,1975,197,2,1
Robert L. Frank Sr.,NO,MALE,Full,Earth-616,1978,106,1,0
Simon Williams,YES,MALE,Full,Earth-616,1979,692,1,1
Yondu Udonta,NO,MALE,Honorary,Earth-691,1978,109,0,0
Martinex T'Naga,NO,MALE,Honorary,Earth-691,1978,100,0,0
Charlie-27,NO,MALE,Honorary,Earth-691,1978,132,0,0
Nicholette Gold,NO,FEMALE,Honorary,Earth-691,1978,108,0,0
Stakar,NO,MALE,Honorary,Earth-691,1978,100,0,0
Vance Astrovik,NO,MALE,Honorary,Earth-691,1978,156,0,0
Mar-Vell,NO,MALE,Full,Earth-616,1978,254,3,2
Carol Susan Jane Danvers,YES,FEMALE,Full,Earth-616,1979,935,0,0
Samuel Thomas Wilson,YES,MALE,Full,Earth-616,1979,576,0,0
Jocasta,YES,FEMALE,Full,Earth-616,1988,141,5,5
Greer Grant Nelson,YES,FEMALE,Full,Earth-616,1981,355,0,0
Jennifer Walters,YES,FEMALE,Full,Earth-616,1982,933,1,1
Monica Rambeau,YES,FEMALE,Full,Earth-616,1983,348,0,0
Eros,NO,MALE,Full,Earth-616,1984,206,0,0
James R. Rhodes,NO,MALE,Full,Earth-616,1984,533,0,0
Barbara Barton (nee Morse),NO,FEMALE,Full,Earth-616,1984,374,1,1
Moira Brandon,NO,FEMALE,Honorary,Earth-616,1993,2,1,0
Benjamin Jacob Grimm,NO,MALE,Full,Earth-616,1986,2305,1,1
Bonita Juarez,NO,FEMALE,Full,Earth-616,1987,83,0,0
Marc Spector,NO,MALE,Full,Earth-616,1988,402,0,0
John F. Walker,NO,MALE,Full,Earth-616,1989,352,0,0
Miguel Santos,NO,MALE,Full,Earth-616,1991,112,0,0
Julia Carpenter,NO,FEMALE,Full,Earth-616,1992,218,0,0
X-51,NO,MALE,Full,Earth-616,1992,149,1,1
Christopher Powell,NO,MALE,Full,Earth-616,1993,168,0,0
Namor McKenzie,NO,MALE,Full,Earth-616,1985,1561,1,1
Scott Edward Harris Lang,NO,MALE,Full,Earth-616,2003,217,1,1
Anthony Ludgate Druid,NO,MALE,Honorary,Earth-616,1987,158,2,2
Marrina Smallwood,NO,FEMALE,Full,Earth-616,1987,86,2,2
Ravonna Lexus Renslayer,NO,FEMALE,Full,Earth-6311,1988,41,2,1
Rita DeMara,NO,FEMALE,Honorary,Earth-616,1988,68,1,1
Dennis Dunphy,NO,MALE,Full,Earth-616,1988,70,2,1
Reed Richards,YES,MALE,Full,Earth-616,1989,2125,0,0
Susan Richards (nee Storm),NO,MALE,Full,Earth-616,1989,1761,0,0
Wendell Elvis Vaughn,NO,MALE,Full,Earth-616,1989,293,1,1
Ashley Crawford,YES,FEMALE,Full,Earth-616,1989,36,0,0
DeMarr Davis,YES,MALE,Full,Earth-616,1989,31,1,1
Val Ventura,YES,MALE,Full,Earth-616,1989,34,0,0
Craig Hollis,YES,MALE,Full,Earth-616,1989,33,0,0
Gene Lorrene,NO,MALE,Full,Earth-616,2005,4,0,0
Dorreen Green,NO,FEMALE,Full,Earth-616,2005,47,0,0
Doug Taggert,NO,MALE,Full,Earth-616,2005,3,1,0
Wade Wilson,NO,MALE,Full,Earth-616,2007,575,1,0
Greg Willis,NO,MALE,Full,Earth-616,2009,58,0,0
Circe,NO,FEMALE,Full,Earth-616,1990,237,0,0
Peter Benjamin Parker,YES,MALE,Full,Earth-616,1990,4333,2,2
Walter Newell,NO,MALE,Full,Earth-616,1990,126,0,0
Elvin Haliday,NO,MALE,Probationary,Earth-616,1900,158,0,0
William Baker,NO,MALE,Probationary,Earth-616,1900,355,1,1
Crystal Amaquelin Maximoff,NO,FEMALE,Full,Earth-616,1992,517,0,0
Eric Kevin Masterson,NO,MALE,Full,Earth-616,1992,202,2,1
Phillip Javert,NO,MALE,Honorary,Earth-921,1992,31,0,0
Anthony Edward Stark,NO,MALE,Full,Earth-96020,1996,27,1,0
Vance Astrovik,NO,MALE,Full,Earth-616,1998,302,0,0
Angelica Jones,NO,FEMALE,Full,Earth-616,1998,330,0,0
Delroy Garrett Jr.,NO,MALE,Full,Earth-616,2000,101,0,0
Maria de Guadalupe Santiago,NO,FEMALE,Full,Earth-616,2000,43,0,0
Jonathan Hart,NO,MALE,Full,Earth-616,2001,126,2,2
Kelsey Leigh Shorr,NO,FEMALE,Full,Earth-616,2004,24,0,0
Carl Lucas,YES,MALE,Full,Earth-616,2005,886,0,0
Veranke,NO,FEMALE,Full,Earth-616,2005,159,1,0
"James ""Logan"" Howlett",YES,MALE,Full,Earth-616,2005,3130,1,0
Robert Reynolds,NO,MALE,Full,Earth-616,2005,241,1,1
Maya Lopez,NO,FEMALE,Full,Earth-616,2005,67,2,1
Elijah Bradley,NO,MALE,Full,Earth-616,2005,103,0,0
"William ""Billy"" Kaplan",YES,MALE,Full,Earth-616,2005,123,0,0
"Dorrek VIII/Theodore ""Teddy"" Altman",YES,MALE,Full,Earth-616,2005,110,0,0
Cassie Lang,NO,FEMALE,Full,Earth-616,2005,160,1,1
"Katherine ""Kate"" Bishop",YES,FEMALE,Full,Earth-616,2005,132,0,0
"Thomas ""Tommy"" Shepherd",YES,MALE,Full,Earth-616,2006,59,0,0
Daniel Thomas Rand K'ai,NO,MALE,Full,Earth-616,2007,629,0,0
Doctor Stephen Vincent Strange,NO,MALE,Full,Earth-616,2007,1324,0,0
